field_1	heap
field_10593	CAULDRON
field_10594	GREEN_WALL_BANNER
field_10595	WHITE_GLAZED_TERRACOTTA
field_10596	COBBLESTONE_STAIRS
field_10597	VINE
field_10598	POTTED_RED_TULIP
field_10599	ORANGE_WALL_BANNER
field_106	BANNER_BROWN
field_1060	GREEN
field_10600	YELLOW_SHULKER_BOX
field_10601	SMOOTH_QUARTZ_SLAB
field_10602	BROWN_BANNER
field_10603	SHULKER_BOX
field_10604	LIGHT_GRAY_WALL_BANNER
field_10605	BLUE_SHULKER_BOX
field_10606	WITHER_ROSE
field_10607	GRANITE_STAIRS
field_10608	ACACIA_TRAPDOOR
field_10609	CARROTS
field_1061	RED
field_10610	PINK_BED
field_10611	WHITE_TERRACOTTA
field_10612	PINK_BANNER
field_10613	END_GATEWAY
field_10614	DEAD_TUBE_CORAL_BLOCK
field_10615	STICKY_PISTON
field_10616	DARK_OAK_STAIRS
field_10617	JUNGLE_SLAB
field_10618	FIRE_CORAL
field_10619	CYAN_WOOL
field_1062	DARK_AQUA
field_10620	OAK_FENCE
field_10621	LIGHT_BLUE_BED
field_10622	STRIPPED_ACACIA_LOG
field_10623	DARK_PRISMARINE_SLAB
field_10624	RED_SANDSTONE_SLAB
field_10625	COBBLESTONE_WALL
field_10626	BLACK_TERRACOTTA
field_10627	JUNGLE_DOOR
field_10628	LIGHT_GRAY_CONCRETE_POWDER
field_10629	BRAIN_CORAL_BLOCK
field_1063	DARK_GRAY
field_10630	SANDSTONE_WALL
field_10631	properties
field_10632	state
field_10633	tag
field_10638	LOGGER
field_1064	DARK_PURPLE
field_10642	descriptionId
field_10646	defaultBlockState
field_10647	stateDefinition
field_10649	OCCLUSION_CACHE
field_1065	GOLD
field_10651	BLOCK_STATE_REGISTRY
field_10652	first
field_10653	direction
field_10654	second
field_10655	XYZ
field_10656	NONE
field_10657	XZ
field_10658	$VALUES
field_10659	$SwitchMap$net$minecraft$world$level$pathfinder$PathComputationType
field_1066	STRIP_FORMATTING_PATTERN
field_10660	explosionResistance
field_10661	isRandomlyTicking
field_10662	mapColor
field_10663	lightEmission
field_10664	hasCollision
field_10665	soundType
field_10666	drops
field_10667	friction
field_10669	destroyTime
field_1067	BOLD
field_10670	dynamicShape
field_10672	EXAMPLES
field_10673	properties
field_10674	state
field_10675	nbt
field_10676	tag
field_10677	nbt
field_10678	vagueProperties
field_10679	EXAMPLES
field_1068	WHITE
field_10680	DRAG_DOWN
field_10681	tag
field_10682	SUGGEST_NOTHING
field_10683	ERROR_INVALID_VALUE
field_10684	ERROR_EXPECTED_END_OF_PROPERTIES
field_10685	vagueProperties
field_10686	state
field_10687	forTesting
field_10688	ERROR_EXPECTED_VALUE
field_10689	definition
field_1069	toString
field_10690	ERROR_UNKNOWN_BLOCK
field_10691	ERROR_NO_TAGS_ALLOWED
field_10692	ERROR_DUPLICATE_PROPERTY
field_10693	nbt
field_10695	ERROR_UNKNOWN_PROPERTY
field_10696	suggestions
field_10697	id
field_10698	reader
field_10699	properties
field_107	BANNER_LIGHT_GRAY
field_1070	RESET
field_10700	HAS_BOTTLE
field_10701	SHAPE
field_10702	EXAMPLES
field_10703	ERROR_NOT_LOADED
field_10704	ERROR_OUT_OF_WORLD
field_10705	EXAMPLES
field_10706	ERROR_NOT_COMPLETE
field_10709	AGE
field_1071	id
field_10710	OUTLINE_SHAPE
field_10711	COLLISION_SHAPE
field_10712	forwards
field_10713	up
field_10714	left
field_10715	SOUTH_AABB
field_10716	FLOOR_AABB_Z
field_10717	PRESSED_CEILING_AABB_X
field_10718	PRESSED_EAST_AABB
field_10719	PRESSED_NORTH_AABB
field_1072	$VALUES
field_10720	EAST_AABB
field_10721	CEILING_AABB_X
field_10722	PRESSED_FLOOR_AABB_X
field_10723	FLOOR_AABB_X
field_10724	PRESSED_SOUTH_AABB
field_10726	PRESSED_CEILING_AABB_Z
field_10727	CEILING_AABB_Z
field_10728	NORTH_AABB
field_10729	POWERED
field_1073	UNDERLINE
field_10730	PRESSED_FLOOR_AABB_Z
field_10731	WEST_AABB
field_10732	PRESSED_WEST_AABB
field_10733	$SwitchMap$net$minecraft$world$level$block$state$properties$AttachFace
field_10734	$SwitchMap$net$minecraft$core$Direction
field_10735	EXAMPLES
field_10736	ERROR_NOT_COMPLETE
field_10737	SHAPE_BY_AGE
field_10738	SHAPE_BY_BITE
field_10739	BITES
field_1074	BLACK
field_10740	EXAMPLES
field_10741	ERROR_INVALID
field_10742	EXAMPLES
field_10743	ERROR_NOT_COMPLETE
field_10744	centerCorrect
field_10746	SHAPE
field_10747	INSIDE
field_10748	FACING
field_10749	snowGolemBase
field_1075	AQUA
field_10750	snowGolemFull
field_10751	PUMPKINS_PREDICATE
field_10752	ironGolemBase
field_10753	ironGolemFull
field_10754	EXAMPLES
field_10755	ERROR_NOT_COMPLETE
field_10756	centerCorrect
field_10757	ERROR_MIXED_TYPE
field_10758	value
field_10759	ERROR_EXPECTED_DOUBLE
